time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-06-19T14:05:35.430Z,19.4751663208008,-155.434661865234,0.180000007152557,2.47,ml,56,35,0.04926,0.340000004,hv,hv74283541,2024-06-19T14:08:13.950Z,"21 km W of Volcano, Hawaii",earthquake,0.32,0.540000021,0.29,30,automatic,hv,hv
2024-06-19T12:43:16.810Z,19.2758331298828,-155.406829833984,30.8500003814697,2.79,ml,25,175,0.06065,0.150000006,hv,hv74283456,2024-06-19T12:45:53.240Z,"11 km NE of Pāhala, Hawaii",earthquake,0.71,0.629999995,0.49,17,automatic,hv,hv
2024-06-19T12:09:43.905Z,41.6085,71.1831,10,4.4,mb,27,98,0.136,0.86,us,us7000mtej,2024-06-19T12:50:37.121Z,"19 km SSE of Kanysh-Kyya, Kyrgyzstan",earthquake,4.43,1.932,0.126,18,reviewed,us,us
2024-06-19T11:11:36.465Z,44.2966,-114.8494,13.257,2.9,ml,21,68,0.19,0.36,us,us7000mted,2024-06-19T11:33:24.040Z,"11 km NE of Stanley, Idaho",earthquake,2.94,8.488,0.045,64,reviewed,us,us
2024-06-19T10:48:18.275Z,-6.4739,147.6781,59.374,4.1,mb,14,174,2.957,0.54,us,us7000mte9,2024-06-19T12:19:06.040Z,"20 km WNW of Finschhafen, Papua New Guinea",earthquake,14.73,12.892,0.158,11,reviewed,us,us
2024-06-19T10:08:01.354Z,-56.6421,-25.4662,15.779,5.7,mb,77,69,6.698,0.53,us,us7000mtdy,2024-06-19T12:13:02.414Z,"South Sandwich Islands region",earthquake,11.35,4.898,0.069,74,reviewed,us,us
2024-06-19T10:01:37.030Z,19.1755,-66.5691666666667,44.56,3.05,md,7,320,0.6957,0.38,pr,pr71453293,2024-06-19T10:27:36.120Z,"79 km NNE of Arecibo, Puerto Rico",earthquake,3.87,10.38,0.089265303176117,6,reviewed,pr,pr
2024-06-19T09:42:43.767Z,32.411,-102.038,7.7881,3.2,ml,23,80,0.1,0.1,tx,tx2024lziu,2024-06-19T14:10:09.884Z,"32 km WSW of Ackerly, Texas",earthquake,0.7057225620468943,1.7741617493182447,0.1,30,reviewed,tx,tx
2024-06-19T07:49:04.080Z,35.9726676940918,-120.531829833984,10.4300003051758,2.56,md,48,39,0.01614,0.11,nc,nc75023827,2024-06-19T07:53:14.710Z,"12 km NW of Parkfield, CA",earthquake,0.18,0.289999992,0.12,57,automatic,nc,nc
2024-06-19T06:49:33.680Z,19.1545,-66.5343333333333,22.87,3.21,md,15,298,0.6738,0.15,pr,pr71453268,2024-06-19T07:07:31.240Z,"76 km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,0.73,12.22,0.0188289354235258,9,reviewed,pr,pr
2024-06-19T06:35:01.540Z,17.9611666666667,-66.8411666666667,14.51,2.65,md,12,170,0.02814,0.24,pr,pr71453258,2024-06-19T06:49:06.560Z,"4 km SSW of Indios, Puerto Rico",earthquake,0.79,0.63,0.0220011998984884,5,reviewed,pr,pr
2024-06-19T06:22:45.570Z,19.0219993591309,-155.431838989258,35.5699996948242,2.51999998,md,41,246,0.1292,0.140000001,hv,hv74283051,2024-06-19T06:24:31.130Z,"16 km ESE of Naalehu, Hawaii",earthquake,0.63,0.75,0.0599999987,5,automatic,hv,hv
2024-06-19T06:21:55.810Z,19.1718333333333,-66.5585,21,3.39,md,43,251,0.6916,0.24,pr,pr71453248,2024-06-19T07:44:52.040Z,"78 km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,0.6,16.09,0.0167223323092425,15,reviewed,pr,pr
2024-06-19T04:17:39.082Z,34.9141,70.2412,67.783,4.8,mb,57,92,3.866,0.68,us,us7000mtch,2024-06-19T09:36:27.853Z,"27 km N of Mehtar Lām, Afghanistan",earthquake,9.42,7.414,0.043,166,reviewed,us,us
2024-06-19T00:48:13.901Z,-13.3077,-76.6693,52.593,4.7,mb,18,161,1.323,0.83,us,us7000mtbv,2024-06-19T02:28:49.040Z,"40 km SW of San Vicente de Cañete, Peru",earthquake,9.57,9.641,0.225,6,reviewed,us,us
2024-06-19T00:46:55.750Z,36.446,-97.05116667,7.31,3.02,ml,97,37,0,0.18,ok,ok2024lyrb,2024-06-19T13:46:31.613Z,"11 km E of Red Rock, Oklahoma",earthquake,,0.3,0.27,38,reviewed,ok,ok
